row,stimulus,Source_current,Frame_current,Source_clean_label,Frame_clean_label,Source_AI,Frame_Gain,Intention,HealthC,main_model_complete,current_matches_clean,single_stimulus_text
86,Stimuli A. AI gain,0.0,1.0,AI coach,Gain frame,1.0,1.0,6.33333333333333,6.83333333333333,True,True,True
87,Stimuli B. AI loss,0.0,0.0,AI coach,Loss frame,1.0,0.0,3.66666666666667,5.0,True,True,True
88,Stimuli B. AI loss,0.0,0.0,AI coach,Loss frame,1.0,0.0,6.33333333333333,6.5,True,True,True
89,Stimuli C. human gain,1.0,1.0,Human expert,Gain frame,0.0,1.0,5.66666666666667,4.83333333333333,True,True,True
90,Stimuli C. human gain,1.0,1.0,Human expert,Gain frame,0.0,1.0,6.0,6.5,True,True,True
91,Stimuli A. AI gain,0.0,1.0,AI coach,Gain frame,1.0,1.0,5.66666666666667,6.16666666666667,True,True,True
92,Stimuli D. human loss,1.0,0.0,Human expert,Loss frame,0.0,0.0,5.33333333333333,5.5,True,True,True
93,Stimuli B. AI loss,0.0,0.0,AI coach,Loss frame,1.0,0.0,6.33333333333333,6.5,True,True,True
94,"Stimuli D. human loss,Stimuli D. human loss",1.0,0.0,Human expert,Loss frame,0.0,0.0,6.33333333333333,5.5,True,True,False
95,Stimuli D. human loss,0.0,0.0,Human expert,Loss frame,0.0,0.0,5.33333333333333,4.83333333333333,True,False,True
96,Stimuli C. human gain,1.0,1.0,Human expert,Gain frame,0.0,1.0,7.0,6.66666666666667,True,True,True
97,Stimuli A. AI gain,0.0,1.0,AI coach,Gain frame,1.0,1.0,6.0,6.0,True,True,True
98,Stimuli B. AI loss,0.0,1.0,AI coach,Loss frame,1.0,0.0,5.0,6.0,True,False,True
99,Stimuli C. human gain,1.0,1.0,Human expert,Gain frame,0.0,1.0,5.66666666666667,4.0,True,True,True
100,Stimuli A. AI gain,0.0,1.0,AI coach,Gain frame,1.0,1.0,5.33333333333333,5.66666666666667,True,True,True
101,"Stimuli C. human gain,Stimuli C. human gain",1.0,1.0,Human expert,Gain frame,0.0,1.0,6.0,5.33333333333333,True,True,False
102,Stimuli A. AI gain,0.0,1.0,AI coach,Gain frame,1.0,1.0,4.0,5.0,True,True,True
103,Stimuli C. human gain,1.0,1.0,Human expert,Gain frame,0.0,1.0,6.0,5.83333333333333,True,True,True
104,Stimuli A. AI gain,0.0,1.0,AI coach,Gain frame,1.0,1.0,5.33333333333333,6.5,True,True,True
105,Stimuli A. AI gain,0.0,1.0,AI coach,Gain frame,1.0,1.0,5.66666666666667,5.5,True,True,True
106,Stimuli B. AI loss,0.0,0.0,AI coach,Loss frame,1.0,0.0,6.0,6.5,True,True,True
107,Stimuli D. human loss,1.0,0.0,Human expert,Loss frame,0.0,0.0,6.66666666666667,6.0,True,True,True
108,Stimuli B. AI loss,0.0,0.0,AI coach,Loss frame,1.0,0.0,6.0,5.5,True,True,True
109,Stimuli C. human gain,1.0,1.0,Human expert,Gain frame,0.0,1.0,6.66666666666667,6.0,True,True,True
110,Stimuli C. human gain,1.0,1.0,Human expert,Gain frame,0.0,1.0,6.66666666666667,4.83333333333333,True,True,True
111,Stimuli B. AI loss,0.0,0.0,AI coach,Loss frame,1.0,0.0,6.0,6.0,True,True,True
112,Stimuli A. AI gain,0.0,1.0,AI coach,Gain frame,1.0,1.0,6.33333333333333,5.66666666666667,True,True,True
113,Stimuli C. human gain,1.0,1.0,Human expert,Gain frame,0.0,1.0,6.0,6.33333333333333,True,True,True
114,Stimuli C. human gain,1.0,1.0,Human expert,Gain frame,0.0,1.0,5.33333333333333,6.0,True,True,True
115,Stimuli D. human loss,1.0,0.0,Human expert,Loss frame,0.0,0.0,5.33333333333333,4.66666666666667,True,True,True
116,Stimuli A. AI gain,0.0,1.0,AI coach,Gain frame,1.0,1.0,7.0,6.83333333333333,True,True,True
